Date,Close/Last,Volume,Open,High,Low
05/24/2024,$39.00,571747,$38.50,$39.10,$38.30
05/23/2024,$37.46,226789,$37.50,$38.43,$37.0956
05/22/2024,$37.34,406903,$36.50,$37.38,$36.4005
05/21/2024,$36.85,258289,$36.73,$37.33,$36.52
05/20/2024,$37.24,309114,$36.70,$37.50,$36.03
05/17/2024,$36.50,547604,$36.73,$37.10,$36.29
05/16/2024,$36.95,257483,$37.36,$37.36,$36.58
05/15/2024,$37.40,163653,$37.42,$37.585,$37.08
05/14/2024,$37.42,205761,$37.83,$38.065,$37.0695
05/13/2024,$37.37,760645,$37.52,$37.95,$37.23
05/10/2024,$37.51,248909,$37.41,$37.6682,$36.85
05/09/2024,$37.47,165237,$37.20,$37.78,$37.0242
05/08/2024,$37.30,139549,$38.00,$38.00,$36.96
05/07/2024,$37.78,258163,$36.96,$38.09,$36.5775
05/06/2024,$37.22,438431,$38.00,$38.18,$36.81
05/03/2024,$37.77,209207,$38.09,$38.39,$36.7449
05/02/2024,$37.15,495294,$39.00,$39.54,$36.84
05/01/2024,$35.15,316624,$35.39,$36.12,$34.905
04/30/2024,$35.04,321279,$36.18,$36.29,$35.00
04/29/2024,$36.29,243615,$36.45,$36.515,$36.09
04/26/2024,$36.32,223783,$36.60,$37.06,$36.19
04/25/2024,$36.55,178361,$36.64,$36.86,$35.99
04/24/2024,$36.96,341051,$37.00,$37.38,$35.89
04/23/2024,$35.61,182151,$35.87,$35.97,$35.30
04/22/2024,$35.52,751950,$35.53,$36.75,$34.83
04/19/2024,$35.42,563447,$34.30,$36.62,$34.30
04/18/2024,$34.36,386847,$34.16,$35.72,$33.82
04/17/2024,$34.05,312235,$33.57,$35.09,$33.38
04/16/2024,$33.65,379618,$34.50,$34.50,$33.35
04/15/2024,$34.15,206889,$34.46,$34.56,$33.94
04/12/2024,$34.46,164144,$34.65,$34.86,$34.34
04/11/2024,$34.91,142834,$35.51,$35.61,$34.86
04/10/2024,$35.28,76661,$34.89,$35.44,$34.692
04/09/2024,$35.13,129623,$35.04,$35.85,$35.00
04/08/2024,$35.05,260922,$34.90,$35.56,$34.7564
04/05/2024,$35.07,106467,$34.77,$35.33,$34.57
04/04/2024,$34.92,168155,$35.50,$35.89,$34.91
04/03/2024,$35.50,200948,$34.93,$36.00,$34.93
04/02/2024,$35.16,163001,$35.20,$35.29,$35.00
04/01/2024,$35.12,270834,$34.77,$35.30,$34.57
03/28/2024,$35.07,165510,$35.28,$35.50,$34.992
03/27/2024,$35.06,242556,$35.31,$35.60,$34.8145
03/26/2024,$35.07,216675,$35.00,$35.26,$34.765
03/25/2024,$35.03,239023,$35.04,$35.48,$34.80
03/22/2024,$35.08,85113,$35.27,$35.47,$34.89
03/21/2024,$35.19,456416,$35.25,$35.74,$35.00
03/20/2024,$35.34,107392,$34.81,$35.36,$34.71
03/19/2024,$35.01,110202,$35.35,$35.385,$34.90
03/18/2024,$35.35,207304,$35.00,$35.52,$34.675
03/15/2024,$35.12,285210,$35.28,$35.95,$34.75
03/14/2024,$35.28,299662,$34.94,$35.97,$34.61
03/13/2024,$34.94,234774,$34.66,$35.05,$34.3757
03/12/2024,$34.66,307852,$33.43,$34.75,$33.12
03/11/2024,$33.48,232663,$33.17,$33.96,$32.71
03/08/2024,$33.39,144085,$33.60,$33.72,$33.13
03/07/2024,$33.43,151967,$33.33,$33.63,$32.76
03/06/2024,$33.10,128459,$33.52,$33.52,$32.98
03/05/2024,$32.83,126563,$32.98,$33.045,$32.4501
03/04/2024,$33.08,176199,$33.05,$33.50,$32.5688
03/01/2024,$32.75,196276,$32.50,$33.02,$32.1565
02/29/2024,$32.35,300044,$32.65,$32.8699,$32.14
02/28/2024,$32.48,248619,$32.97,$33.00,$32.40
02/27/2024,$32.97,218863,$32.58,$33.00,$32.33
02/26/2024,$32.58,414578,$32.68,$32.81,$32.00
02/23/2024,$32.69,294381,$32.59,$33.00,$32.35
02/22/2024,$32.95,671488,$31.43,$34.59,$31.43
02/21/2024,$31.46,380059,$30.95,$31.81,$30.76
02/20/2024,$31.13,299117,$31.06,$31.49,$30.96
02/16/2024,$31.40,106195,$31.54,$31.80,$31.0815
02/15/2024,$31.64,260700,$31.86,$32.00,$31.125
02/14/2024,$31.88,367544,$31.80,$32.21,$30.97
02/13/2024,$31.66,260629,$31.71,$32.20,$31.24
02/12/2024,$32.01,657242,$32.00,$32.35,$31.65
